Repository	A central location where data is stored and managed
Commit	A snapshot of changes in a version control system
Merge	Combining changes from different branches in version control
Branch	A parallel version of a repository
Big O Notation	Mathematical notation used to describe the asymptotic behavior of functions
Unit Testing	Testing individual units or components of a software application
Integration Testing	Testing the interaction between different units or components
Functional Testing	Testing the software against the functional requirements
Load Testing	Testing the performance of a software application under a specific expected load
Agile	A set of values and principles for software development under which requirements and solutions evolve
Scrum	A framework for project management that emphasizes incremental progress
Docker	A platform for developing, shipping, and running applications in containers
Kubernetes	An open-source system for automating deployment, scaling, and management of containerized applications
CI/CD	Continuous Integration and Continuous Deployment/Delivery
Serverless	A cloud computing execution model where the cloud provider manages the server
Microservices	An architectural style that structures an application as a collection of services
Cloud Computing	The delivery of computing services over the internet
IaaS	Infrastructure as a Service
PaaS	Platform as a Service
SaaS	Software as a Service
VPN	Virtual Private Network, provides a secure connection over a less secure network
Proxy	An intermediary server that separates end users from the websites they browse
Load Balancer	A device that distributes network or application traffic across a number of servers
Caching	Storing copies of data in a temporary storage location for faster access
Zero Day	A vulnerability in software that is unknown to the vendor
Cookie	A small piece of data stored on the user's computer by the web browser
Session	A temporary and interactive information interchange between two or more communicating devices
Stateful	A system that remembers preceding events or user interactions
Stateless	A system that does not retain any information about previous interactions
Regex	Regular Expression, a sequence of characters that forms a search pattern
IDE	Integrated Development Environment, a software application that provides comprehensive facilities to computer programmers
Framework	A platform for developing software applications
Library	A collection of pre-written code that developers can use to optimize tasks
Technical Debt	The implied cost of additional rework caused by choosing an easy solution now instead of using a better approach
Refactoring	The process of restructuring existing computer code without changing its external behavior
Debugging	The process of finding and resolving bugs within computer programs
Bitwise Operator	An operator that performs a calculation on the individual bits of a number
Recursion Depth	The number of times a function calls itself
Immutable	An object whose state cannot be modified after it is created
Mutable	An object whose state can be modified after it is created
Type Safety	The extent to which a programming language discourages or prevents type errors
Static Typing	Type checking is performed during compile-time
Dynamic Typing	Type checking is performed during run-time
Garbage Collection	A form of automatic memory management
Big Data	Extremely large data sets that may be analyzed computationally to reveal patterns
Machine Learning	A field of AI that focuses on building systems that learn from data
Neural Network	A series of algorithms that endeavors to recognize underlying relationships in a set of data
Deep Learning	A subfield of machine learning based on artificial neural networks with representation learning
Big Endian	The most significant byte of a word is stored at the smallest memory address
Little Endian	The least significant byte of a word is stored at the smallest memory address
Interrupt	A signal to the processor emitted by hardware or software indicating an event that needs immediate attention
DMA	Direct Memory Access, allows certain hardware subsystems to access main system memory independently of the CPU
BIOS	Basic Input/Output System
RAID	Redundant Array of Independent Disks, a way of storing the same data in different places on multiple hard disks
Virtualization	The act of creating a virtual version of something, including virtual computer hardware platforms
Container	A standard unit of software that packages up code and all its dependencies
Edge Computing	A distributed computing paradigm that brings computation and data storage closer to the sources of data
Blockchain	A growing list of records, called blocks, that are linked using cryptography
Smart Contract	Self-Executing contracts with the terms of the agreement between buyer and seller being directly written into lines of code
Front End	The part of a software system that interacts directly with the user
Back End	The part of a software system that manages the server, database, and application logic
Full Stack	A developer who can work on both the front end and back end of an application
DevOps	A set of practices that combines software development and IT operations
Cybersecurity	The practice of protecting systems, networks, and programs from digital attacks
IoT	Internet of Things, the network of physical objects embedded with sensors and software
Embedded System	A computer system with a dedicated function within a larger mechanical or electrical system
